编号,原句,法则核心,法则核心内容 (精简版),创作实操指南,经典案例,分类
4,很久很久以前，有一个___。 每天___。有一天___。因为这个___，直到最后___。,叙事骨架,很久以前... 每天... 有一天... 因为... 最终...,使用此公式快速构建故事梗概。,《海底总动员》： 每天马林都胆小地守着珊瑚礁，有一天儿子被抓走了。因为这事，他被迫远航。直到最后，他学会了放手。,结构&叙事效率
5,简化。聚焦。合并角色。跳过弯路。你会觉得你正在失去有价值的东西，但它会让你自由。,极简主义," 简化、聚焦、合并角色、跳过弯路。",删掉不推动剧情的支线，合并功能重复的角色。,《冰雪奇缘》 ： 在原著安徒生童话《白雪皇后》，白雪皇后是一个疏离、纯粹的反派。迪士尼将“邪恶女王”与“主角的姐姐”这两个角色合二为一。《冰雪奇缘》 (Frozen) 合并角色： 在原著安徒生童话《白雪皇后》中，白雪皇后是一个疏离、纯粹的反派，而小女孩格尔达要穿越重重阻碍去救小男孩。迪士尼将“邪恶女王”与“主角的姐姐”这两个角色合二为一（Elsa）。,结构&叙事效率
7,在你弄清楚中间部分之前，先想好你的结局。说真的。结局很难。先搞定你的结局。,结局先行," 在弄清楚中间部分前，先定好结局。",结局是逻辑的落点，先定终点才不会迷路。,《致命魔术》： 只有确定了双胞胎的秘密，前面的每一次魔术表演和争斗才有精确的指向性。,结构&叙事效率
14,你故事的内核是什么？用什么方式讲述它最经济？如果你知道这一点，你就可以从那里开始构建。,经济表达," 找准故事内核，用最经济的方式讲述。",剔除冗余，用最少的篇幅传达最大的信息量。,《飞屋环游记》： 开篇 4 分钟蒙太奇通过无声画面交代了一生的挚爱与遗憾，比 1 小时的对白更有力。,结构&叙事效率
19,让角色陷入困境的巧合很棒。但让它们摆脱困境的巧合是作弊。,巧合定向," 陷入困境的巧合很棒，脱离困境的巧合是作弊。",运气只能用来制造麻烦，解决问题必须靠实力。,《绝命毒师》： 老白恰好看到小粉（入局）；但老白逃离毒枭地窖是靠化学知识（破局），而不是门没锁。,结构&叙事效率
1,欣赏角色们尝试超越他们已经取得成就的过程。,欣赏挑战,敬佩角色为了超越成就而付出的努力。,观众爱看的是角色“尝试”的过程，而非结果。,《玩具总动员》： 观众敬佩巴斯光年尝试“飞向宇宙”，哪怕他只是一次次从楼梯上摔下来。,角色&冲突
6,简化。聚焦。合并角色。跳过弯路。你会觉得你正在失去有价值的东西，但它会让你自由。,极限施压," 给角色扔一个他最不擅长/最讨厌的东西。",观察角色在极端不适下的本能反应。,让一个有重度洁癖的机器人（《瓦力》中的 M-O）去处理一个满身尘埃、来自垃圾星球的异类。,角色&冲突
13,给你的角色意见。一个被动或易于塑造的角色对你来说作为作者来说很容易，但对你的观众来说是毒药。 ,赋予观点," 给角色意见。被动、易塑造的角色是毒药。",角色必须有性格，即使不完美也要有立场。,"《头脑特工队》
乐乐有一个极度强烈的观点——“莱莉的生活必须永远快乐，忧伤是无用的，甚至是有害的。”
正因为她这个偏执且不容动摇的观点，才引发了后续扣押记忆球、迷失在长期记忆区的全部冲突。如果她是个随波逐流的角色，这电影 5 分钟就演完了。",角色&冲突
16," 风险是什么？给我们一个支持这个角色的理由。如果他没有成功会发生什么？增加他成功的难度。",明确风险," 失败了会怎样？增加成功的难度。",给观众一个支持角色的理由：因为输不起。,《寻梦环游记》： 如果米格在日出前拿不到祝福，他会永远变成一具骸骨，现实中也没有人会再记得他。,角色&冲突
2,记住什么对观众来说是有趣的，而不是对作者来说写起来有趣。这两者可能非常不同。,观众视角," 记住观众觉得有趣的事，而非作者觉得好写的事。",警惕“作者自嗨”，保持客观的审视。,《料理鼠王》 ：作者可能想写冗长的“烹饪配方”，但观众想看的是食物带来的感官通感（如小米吃下奶酪和草莓时脑中的烟花）。,创作心理&心法
3,尝试不同主题很重要，但是，在你写完故事之前，你不会知道故事讲的是什么。明白了吗？现在重写。,重写意识,写完才知道故事讲什么。写完了？现在重写。,主题是长出来的，初稿只是用来寻找主题的。,《玩具总动员 3》 早期草稿曾想写巴斯光年被召回台湾。但在重写中，主创发现“学会放手与告别”才是灵魂，于是改成了安迪去上大学。,创作心理&心法
8,完成你的故事。放手吧，即使它不完美。在理想的世界里，你两者兼得，但继续前进。下次做得更好。,完成大于完美," 即使不完美也要完成，放手并继续前进。",拖延是完美的敌人，完成是下次进步的基础。,《星际宝贝》电影在 911 事件后紧急修改了结尾（将波音 747 改为飞船），虽有遗憾但果断完成。完成它，才能让史迪仔真正诞生。,创作心理&心法
9,当你卡住时，列出接下来不会发生的事情。通常，让你摆脱困境的材料就会出现。,排除法解围," 卡住时，列出接下来“不会”发生的事。",通过排除不可能，逼出潜藏的素材。,《疯狂动物城》  原本主角是尼克，世界观极其阴暗。导演列出“这不可行”后，排除掉阴暗视角，转而以朱迪的乐观视角切入，故事瞬间顺了。,创作心理&心法
